session_old_id,target_type,shot_number,value
21,black,1,7
21,black,2,7
21,black,3,8
21,black,4,9
21,black,5,9
21,black,6,9
21,black,7,9
21,black,8,9
21,black,9,10
21,black,10,10
22,red,1,0
22,red,2,0
22,red,3,0
22,red,4,0
22,red,5,0
22,green,1,5
22,green,2,5
22,green,3,6
22,green,4,7
22,green,5,7
22,green,6,8
22,green,7,8
22,green,8,8
22,green,9,8
22,green,10,8
22,green,11,8
22,green,12,9
22,green,13,9
22,green,14,10
22,green,15,10
22,black,1,5
22,black,2,6
22,black,3,6
22,black,4,7
22,black,5,8
22,black,6,8
22,black,7,9
22,black,8,9
22,black,9,9
22,black,10,9
38,red,1,0
38,red,2,0
38,red,3,0
38,red,4,0
38,red,5,0
38,green,1,6
38,green,2,8
38,green,3,8
38,green,4,8
38,green,5,8
38,green,6,9
38,green,7,9
38,green,8,9
38,green,9,9
38,green,10,9
38,green,11,9
38,green,12,9
38,green,13,10
38,green,14,10
38,green,15,10
38,black,1,6
38,black,2,7
38,black,3,7
38,black,4,7
38,black,5,8
38,black,6,8
38,black,7,9
38,black,8,9
38,black,9,9
38,black,10,10
44,red,1,0
44,red,2,0
44,red,3,0
44,red,4,0
44,red,5,0
44,green,1,3
44,green,2,5
44,green,3,7
44,green,4,7
44,green,5,8
44,green,6,8
44,green,7,8
44,green,8,9
44,green,9,9
44,green,10,9
44,green,11,9
44,green,12,10
44,green,13,10
44,green,14,10
44,green,15,10
44,black,1,5
44,black,2,7
44,black,3,7
44,black,4,9
44,black,5,9
44,black,6,9
44,black,7,9
44,black,8,9
44,black,9,10
44,black,10,10
